325,2049.346,1436.028,1500.205,1541.945,1471.401,1430.354,803.935,705.832,977.764,1366.050,1798.862,2111.263,2190.814,1409.500,414.348,139.237,120.298,3478.443,41202.742,74772.852,26243.492,1303.236,20.000,12.728,10.400,9.151,9.550,6.769,3.871,2.993,2.842,3.015,3.027,3.664,4.059,4.511,5.173,5.803,6.761,7.666,9.161,11.383,14.669,19.229,22.022,26.302,23.279,15.844,11.585,12.760,14.137,14.709,15.321,15.354,15.746,
330,2224.965,1631.668,1680.232,1677.362,1581.906,1510.091,844.703,732.291,1018.688,1453.932,1903.008,2142.737,1858.830,1539.701,767.698,196.549,123.297,104.834,2815.598,38663.129,71375.344,27659.400,1001.530,18.714,12.894,10.028,10.581,8.032,4.472,3.159,3.429,3.159,3.265,3.566,4.038,4.670,5.081,5.873,6.639,7.794,9.119,11.366,14.639,19.186,22.798,26.635,24.418,17.338,13.383,14.523,15.717,16.075,16.618,16.195,16.690,
335,2495.853,1709.843,1661.530,1661.897,1541.183,1503.118,859.360,773.682,1039.821,1457.431,1892.760,2102.580,1666.441,1138.361,982.976,458.852,155.141,109.812,106.351,2553.735,37742.598,72720.305,25321.877,988.420,17.941,12.110,11.316,9.443,5.726,3.856,3.360,3.126,3.689,3.407,4.267,4.631,5.125,5.964,6.913,8.434,9.627,12.161,16.084,21.551,24.932,29.350,27.217,18.252,14.088,14.814,15.960,15.851,16.555,15.896,16.695,
340,2699.802,1730.785,1592.611,1576.429,1465.307,1441.390,852.774,769.995,1030.609,1402.206,1799.962,1994.369,1563.737,897.754,683.363,725.038,330.332,119.309,105.969,89.130,3039.397,42192.262,71177.211,21734.625,833.410,16.260,13.051,10.344,6.923,4.865,3.782,3.487,3.938,3.771,3.945,4.804,5.290,6.261,6.863,8.176,9.997,12.586,16.634,21.816,25.603,30.651,27.707,19.408,14.063,14.896,15.631,15.649,15.385,15.340,16.222,
345,2300.914,1600.681,1460.554,1410.459,1303.866,1260.226,761.118,683.003,894.380,1225.183,1564.794,1733.969,1373.523,778.465,381.658,525.106,611.262,218.118,99.174,79.429,63.094,2859.569,39571.582,63832.254,23403.598,878.068,17.585,11.608,7.627,5.795,5.068,4.568,4.791,4.101,4.114,4.074,4.592,5.262,5.951,7.164,8.407,10.830,14.017,18.403,21.377,25.596,23.462,16.785,13.103,14.000,14.943,14.266,14.402,13.727,13.867,
350,1982.709,1429.091,1308.489,1242.676,1143.914,1117.017,676.606,606.514,789.476,1062.976,1353.496,1490.850,1179.136,680.612,307.766,240.789,530.986,468.099,153.589,76.184,57.207,51.682,2920.064,35612.012,64371.066,19060.014,837.891,15.658,9.478,7.179,6.155,6.020,5.493,4.240,3.724,4.142,4.334,4.820,5.423,6.582,7.749,9.070,12.369,15.757,18.493,21.870,20.667,14.897,12.013,12.802,13.720,13.120,12.684,12.375,12.544,
355,1805.068,1267.546,1159.027,1079.596,986.840,976.061,614.905,545.628,694.487,915.987,1149.790,1266.647,1006.998,594.658,283.350,163.248,244.508,529.839,359.399,104.559,54.940,45.366,45.106,3137.717,36751.211,53417.934,18339.826,768.794,13.299,8.700,6.858,6.732,6.534,4.821,3.925,3.986,4.010,4.607,5.055,5.964,6.848,8.346,10.682,14.122,16.476,19.807,18.198,13.447,10.497,11.627,11.748,11.614,11.374,10.944,11.298,
360,1468.010,1094.699,982.042,921.987,829.502,820.529,538.998,468.069,588.534,764.488,947.541,1026.149,832.900,500.869,250.192,145.363,128.930,263.438,489.412,267.301,67.988,44.548,39.995,39.858,2396.126,28678.932,53087.570,20720.701,998.457,12.478,8.624,8.168,7.591,5.490,4.453,3.795,3.551,3.873,4.276,5.098,5.844,6.780,8.598,11.504,13.050,15.619,14.657,11.263,9.322,10.018,10.421,10.135,10.028,9.678,9.679,
365,1193.153,938.651,831.204,775.709,703.143,706.199,465.713,408.644,498.361,621.592,763.717,826.283,673.166,418.430,219.604,134.609,112.695,111.364,290.701,434.562,174.634,49.960,38.900,36.084,37.319,1961.471,27009.742,52984.777,20467.252,757.361,12.408,9.977,8.187,5.699,5.196,4.310,3.467,3.630,3.854,4.323,4.753,5.539,6.756,8.552,10.246,12.131,11.880,9.221,7.774,8.754,8.944,8.818,8.664,7.967,8.654,
370,954.743,770.165,704.914,641.435,582.364,582.479,406.005,350.679,415.544,517.799,624.826,668.498,552.267,355.889,194.495,126.914,109.146,89.027,110.920,316.182,358.232,116.945,41.195,35.682,34.055,33.459,1515.981,25108.412,48875.781,18245.014,827.874,12.696,9.283,6.613,5.382,4.725,4.215,3.442,3.457,3.797,4.278,4.722,5.789,7.086,8.322,9.605,9.451,7.601,6.605,7.413,7.590,7.367,7.386,7.033,7.328,
375,776.884,629.931,571.659,542.257,488.830,494.520,359.261,311.615,350.623,424.737,498.492,533.113,446.569,296.207,177.428,119.743,103.768,86.742,76.571,121.353,330.342,290.425,82.042,37.220,34.378,30.236,30.407,1029.205,21411.568,46345.031,19911.920,903.972,12.110,7.955,6.150,5.240,4.366,3.666,3.194,3.333,3.504,3.993,4.813,5.878,6.548,7.645,7.472,6.469,5.423,6.485,6.809,6.695,6.467,6.217,6.357,
380,625.119,536.382,483.156,454.779,403.121,418.359,314.635,262.855,297.702,354.564,400.625,430.104,363.267,252.426,158.871,111.836,98.210,83.361,72.476,70.482,146.695,328.420,216.480,57.820,35.537,29.436,26.053,26.928,1199.572,21713.916,46051.203,18923.410,849.209,10.930,7.399,5.680,4.588,4.004,3.597,3.216,3.272,3.503,4.127,4.772,5.227,5.877,5.958,5.200,4.687,5.450,5.610,5.692,5.485,5.424,5.524,
385,492.772,439.997,398.746,376.627,342.993,353.734,272.851,235.622,253.159,285.983,323.291,337.852,294.208,212.624,141.577,106.806,94.500,79.311,69.766,62.978,66.179,170.155,304.538,154.311,45.348,29.974,26.413,23.020,23.510,1070.086,19552.422,45004.703,19909.828,767.059,9.855,6.611,4.986,4.444,3.740,3.274,2.884,2.921,3.392,4.034,4.422,4.966,4.931,4.420,4.017,4.618,4.868,4.809,4.785,4.568,4.748,
390,399.203,360.001,336.553,317.216,284.096,306.947,247.611,206.433,214.578,235.717,258.644,270.750,241.202,183.188,127.587,98.157,87.096,76.807,66.499,59.386,55.162,66.763,191.000,264.469,111.504,34.172,25.903,21.946,19.177,20.887,772.386,18822.441,45041.688,17417.559,716.561,9.057,5.819,4.323,3.981,3.509,3.362,2.953,2.835,3.376,3.619,4.068,4.006,3.595,3.394,3.826,4.212,4.103,4.046,3.905,4.299,
395,344.678,310.090,288.260,268.196,245.481,278.610,217.545,189.835,196.678,201.745,214.968,225.805,202.226,156.732,114.271,92.419,84.469,72.186,64.068,58.928,53.280,51.583,78.467,214.152,214.799,67.912,26.233,21.069,18.598,16.949,19.287,1052.667,18734.508,40492.344,14682.397,540.244,7.850,5.223,4.287,3.612,3.394,3.293,2.849,3.067,3.222,3.486,3.340,3.266,3.053,3.553,3.669,3.626,3.751,3.667,3.706,
400,298.018,281.748,256.276,243.780,224.387,246.624,215.643,181.835,173.451,179.525,185.840,193.587,178.534,141.463,106.834,86.095,80.725,70.178,62.926,58.544,53.924,49.793,50.561,89.428,213.231,163.402,47.217,22.486,18.251,16.876,16.021,18.051,816.137,16712.359,36098.387,13889.334,541.047,7.036,4.928,4.106,3.530,3.636,3.145,3.175,2.849,2.996,3.063,2.930,2.854,3.263,3.460,3.257,3.339,3.270,3.448,
405,274.274,260.543,235.372,236.167,219.553,247.748,216.079,178.615,171.380,165.875,172.125,177.858,164.828,134.199,101.064,85.419,79.715,69.972,63.688,58.694,53.671,51.096,49.577,49.749,107.090,205.837,120.426,33.526,19.307,17.036,15.618,14.941,17.195,662.407,15585.876,32832.078,12142.358,504.088,6.673,4.570,3.585,3.317,3.292,3.216,2.981,2.829,2.773,2.649,2.640,3.036,3.202,3.202,3.249,3.126,3.356,
410,269.512,253.920,234.881,233.156,217.309,252.809,226.311,186.776,171.601,157.875,164.404,165.779,159.540,129.631,102.573,85.295,79.727,72.058,63.090,59.584,56.702,53.334,51.552,46.594,52.480,130.428,188.088,84.261,23.670,17.276,15.774,15.036,14.386,15.835,784.922,14420.923,28628.895,10166.149,404.237,5.929,4.352,3.399,3.297,3.226,2.982,3.059,2.702,2.636,2.593,2.948,3.108,3.065,3.164,3.056,3.253,
415,257.828,253.949,235.790,236.025,230.031,266.455,244.131,194.017,174.558,155.621,157.915,162.510,153.812,127.030,99.085,84.166,77.798,70.341,62.913,59.692,57.219,54.691,51.807,47.422,45.187,54.842,143.117,159.924,55.615,19.314,15.672,14.694,14.673,12.791,14.241,587.989,11987.335,25060.967,9461.804,388.442,5.928,4.357,3.404,3.219,3.313,2.992,2.886,2.577,2.541,2.968,3.114,3.109,3.189,3.175,3.245,
420,236.317,259.918,248.515,231.507,237.362,274.367,251.755,197.563,176.287,151.207,148.894,155.197,151.239,124.521,96.523,79.604,76.534,67.498,62.928,58.597,56.912,54.676,52.449,48.155,44.250,39.951,63.420,149.092,124.067,38.452,15.910,14.425,14.597,12.869,11.675,13.609,523.820,11274.330,23602.281,8651.533,398.680,5.480,4.104,3.438,3.232,3.027,3.108,2.866,2.581,2.978,3.184,3.023,3.219,3.145,3.340,
425,237.736,268.951,253.009,246.911,243.565,290.522,268.642,205.609,175.612,152.733,145.400,153.918,145.981,120.771,90.835,78.561,72.166,65.563,60.323,57.649,54.960,54.578,52.545,48.039,44.682,38.114,37.314,74.898,147.125,92.538,26.680,14.383,13.797,13.316,12.134,10.863,12.142,636.285,10787.078,20996.867,7953.265,338.136,5.078,3.911,3.281,3.038,3.008,2.925,2.814,2.942,3.023,3.026,3.285,3.213,3.684,
430,236.330,275.961,260.761,261.742,266.182,308.423,277.224,216.147,180.980,151.966,141.113,157.644,148.870,119.432,87.793,74.759,69.882,61.522,56.750,55.368,53.304,52.806,51.182,48.397,44.369,37.813,33.687,36.750,85.809,132.260,69.065,19.306,12.858,12.269,12.700,11.168,9.192,10.843,405.121,9215.188,20265.232,8081.573,288.928,5.363,4.002,3.523,3.142,2.927,2.928,3.161,3.182,3.162,3.152,3.386,3.688,
435,247.478,292.362,286.365,282.202,276.526,340.157,302.914,224.879,181.482,151.936,143.526,153.945,149.534,119.774,86.490,71.541,65.693,60.373,56.660,51.569,52.558,51.402,51.203,47.583,43.081,37.369,32.175,30.286,36.955,95.018,115.840,47.452,15.228,11.329,11.356,12.384,9.992,8.931,10.291,409.252,8825.510,19410.160,6789.040,353.934,5.016,3.727,3.374,3.183,3.023,3.293,3.498,3.282,3.388,3.507,3.885,
440,261.971,309.022,306.303,303.222,302.246,357.968,319.793,236.090,188.040,152.108,142.520,156.037,156.178,117.582,83.766,67.353,63.468,57.691,52.683,50.123,49.796,49.618,49.447,45.776,43.602,36.929,32.466,29.697,27.040,41.811,100.157,92.614,31.827,12.009,10.043,10.906,11.142,9.013,8.501,9.620,405.190,8610.981,17511.066,6455.973,270.621,4.697,4.074,3.470,3.268,3.521,3.846,3.604,3.678,3.751,3.889,
445,490.903,342.834,327.126,327.022,320.470,386.834,341.080,243.679,190.609,153.475,149.096,159.331,160.155,121.403,80.598,65.629,60.040,55.427,50.926,48.961,47.975,47.723,48.341,44.645,42.419,36.462,32.841,29.177,24.876,24.469,46.927,100.845,74.218,22.095,10.107,9.499,10.137,10.885,8.683,7.669,8.919,316.444,8179.617,15920.515,6297.580,303.951,5.024,4.032,3.559,3.828,3.995,3.858,3.868,3.845,4.253,
450,3162.236,367.477,351.146,348.560,342.563,411.195,357.301,258.707,204.070,157.777,148.513,163.671,162.622,119.383,77.195,60.484,57.595,52.045,48.698,46.837,46.002,45.444,45.957,43.308,39.899,34.113,31.488,28.225,23.956,22.327,24.070,57.122,94.807,52.355,15.043,9.090,8.837,9.777,10.334,7.736,7.479,8.685,357.448,6893.592,14675.003,6249.475,273.130,5.058,4.249,4.331,4.148,3.995,4.198,4.532,4.521,
455,10626.298,595.554,375.499,365.159,360.581,430.422,368.987,260.913,203.182,156.598,151.318,168.052,169.085,124.744,75.818,58.133,53.620,48.634,45.138,44.677,42.993,43.019,43.508,40.701,38.407,33.736,30.863,28.080,23.844,21.428,20.120,25.711,65.226,81.742,33.980,11.256,8.517,8.490,9.816,9.717,7.441,7.447,8.481,351.394,5958.977,14341.000,5132.948,239.703,4.997,4.911,4.747,4.294,4.419,4.326,4.751,
460,19799.631,3383.172,398.429,385.045,383.075,448.219,384.796,269.183,202.451,157.143,153.146,173.375,172.030,120.510,73.184,54.060,50.975,46.600,41.806,41.619,40.821,39.478,41.907,39.757,37.243,32.154,29.407,26.861,23.011,20.691,18.995,17.589,27.787,68.361,64.408,23.490,9.499,8.086,7.975,9.951,9.299,6.981,6.712,8.340,181.053,5775.546,12388.813,5304.766,230.649,6.016,5.476,4.790,4.864,4.444,4.916,
465,18742.969,11533.101,825.296,403.151,388.366,453.041,385.540,268.846,202.649,158.581,152.883,173.384,173.485,119.618,69.826,50.998,47.925,43.396,39.134,38.361,38.057,38.591,39.233,37.092,35.360,30.949,28.006,26.346,22.947,20.310,18.614,16.646,16.543,32.281,68.073,49.258,16.211,8.350,7.817,8.051,9.601,8.926,6.569,7.009,7.415,203.553,5027.917,12664.313,5326.544,306.354,6.386,5.785,5.308,4.784,5.049,
470,9346.589,20176.480,4190.835,412.608,400.759,463.241,384.661,270.941,198.369,155.195,149.613,174.884,174.601,120.402,66.444,47.946,46.009,40.434,36.506,35.379,35.476,36.065,37.325,35.896,32.677,29.224,26.846,24.524,21.563,20.135,18.109,15.758,14.945,15.829,38.820,61.569,34.798,12.002,7.630,7.295,8.083,9.774,8.303,6.509,6.552,7.839,205.165,5803.240,11973.163,5068.204,209.467,6.361,6.165,5.426,5.410,
475,1719.615,19002.523,13034.968,841.627,398.965,454.562,383.728,262.858,193.431,148.122,145.726,170.274,171.699,116.773,63.678,45.217,41.730,37.228,34.439,34.008,34.149,33.164,35.744,33.429,31.168,27.499,24.925,23.530,20.836,18.405,17.368,15.295,14.351,13.008,17.225,43.468,52.748,25.503,9.536,7.088,6.901,7.864,9.688,8.009,5.699,6.314,7.382,219.220,4574.429,11689.178,4139.291,167.558,6.527,6.114,5.678,
480,330.825,8966.378,20546.529,4823.492,392.986,448.664,371.518,253.766,188.457,148.455,143.826,168.434,168.350,114.791,60.202,43.298,38.335,35.240,32.017,30.895,30.876,31.246,32.871,30.652,29.405,25.699,23.528,21.892,19.738,17.856,16.499,15.074,13.774,12.539,12.025,19.716,45.267,43.801,18.086,7.831,6.616,6.748,8.023,10.041,7.335,6.081,6.167,7.142,186.602,4640.885,10191.136,3912.769,173.132,6.522,6.414,
485,326.999,1844.050,17797.809,14378.619,745.823,438.833,356.372,245.656,181.523,137.326,136.369,161.680,161.996,108.688,56.664,39.367,37.061,32.475,30.321,29.353,30.155,29.714,30.664,30.058,26.875,23.666,22.444,20.723,18.664,17.084,15.754,14.616,13.183,11.891,11.018,11.817,23.778,45.594,33.766,12.270,7.177,6.544,6.771,8.732,8.985,6.847,5.635,6.148,6.561,229.427,4892.100,9276.997,3440.455,162.220,6.732,
490,402.047,435.958,8012.232,23059.924,4568.949,426.687,342.256,235.498,175.028,134.078,127.523,155.251,155.957,104.446,52.992,37.112,33.703,29.987,27.147,26.827,28.239,26.938,29.501,27.235,25.706,22.600,20.949,19.130,16.732,16.520,14.688,13.525,12.549,11.815,10.553,10.688,12.219,27.889,42.743,24.551,9.451,6.603,6.112,6.427,8.576,9.146,6.019,5.585,5.917,7.184,207.148,4012.924,9169.767,3751.307,168.820,
495,508.553,392.183,1540.467,19802.305,14202.717,1143.660,332.887,223.437,162.696,123.209,122.819,145.300,148.608,96.103,50.083,33.758,31.375,27.831,25.889,25.321,25.655,25.436,26.745,25.863,23.519,20.561,19.222,18.055,16.413,15.478,13.856,13.325,12.319,10.981,10.016,9.844,9.809,13.105,30.618,36.885,17.891,7.626,5.907,6.008,6.233,9.001,8.451,5.573,4.979,6.067,7.330,159.958,4085.884,9013.979,3559.205,
500,560.247,421.998,375.785,8997.182,22590.072,6829.185,323.893,208.908,155.038,117.022,114.905,136.180,138.303,92.975,46.392,32.877,28.687,26.326,23.973,23.972,23.828,24.233,25.713,24.302,21.521,19.368,18.135,16.917,14.785,14.408,13.142,12.205,11.627,10.703,9.864,8.964,9.147,9.541,15.214,33.363,29.578,12.479,6.421,5.586,5.451,6.261,9.096,7.603,4.995,5.124,6.172,6.666,175.130,3794.631,8359.994,
505,525.023,493.484,331.771,1761.409,19579.342,19598.967,929.592,196.915,142.340,109.832,108.827,129.641,126.314,84.630,42.171,28.823,27.321,24.706,23.267,22.052,22.962,22.553,24.184,22.523,20.080,18.239,16.248,15.365,13.832,13.282,12.440,12.087,10.962,9.693,9.291,8.667,8.599,8.179,9.273,18.797,32.094,22.123,9.286,5.590,4.947,5.179,6.348,8.392,6.474,5.107,5.167,5.569,6.750,182.698,3601.158,
510,358.957,550.255,341.378,315.513,8268.804,31215.533,6656.864,192.793,135.195,100.684,101.961,121.005,115.200,77.300,38.884,27.216,25.387,22.481,20.725,20.290,21.300,21.153,22.347,21.671,19.047,16.819,15.015,14.381,12.848,12.536,11.746,10.344,10.272,9.346,8.704,8.198,7.753,8.031,7.840,9.613,20.284,28.771,16.790,7.325,4.876,4.863,4.694,6.210,8.364,6.791,5.006,4.680,5.312,6.253,116.973,
515,226.954,532.229,402.447,275.983,1435.833,25964.041,19596.023,798.204,125.958,90.822,92.272,111.724,112.526,70.524,35.140,25.239,23.426,20.517,19.192,19.481,19.789,19.881,21.149,19.893,17.875,15.752,14.154,13.161,11.608,11.120,10.649,9.869,9.112,8.772,8.502,7.887,7.492,7.255,7.602,7.150,10.326,22.587,24.409,12.401,5.431,4.639,4.458,4.527,6.325,9.026,6.246,4.278,4.471,5.470,6.499,
