350,748.074,601.536,518.343,473.731,432.126,518.301,512.854,501.473,541.800,578.180,639.643,676.424,667.745,597.446,498.114,468.356,684.802,569.627,228.096,127.007,95.504,70.894,334.664,4193.353,8056.359,2653.500,96.231,3.203,2.152,1.391,1.525,1.717,2.063,2.104,2.589,2.872,2.881,3.091,3.147,3.444,4.088,4.194,4.611,5.280,5.472,6.326,6.418,6.049,5.685,6.652,6.966,7.055,7.485,7.659,8.127,
355,796.444,649.942,570.401,517.039,475.571,555.617,549.872,532.589,574.436,599.615,664.073,704.397,712.326,639.369,553.589,457.306,480.326,682.065,474.256,193.653,128.156,97.426,71.241,365.156,4388.401,7449.161,2323.537,95.217,3.062,1.869,1.903,1.935,2.239,2.402,2.572,2.670,2.721,3.235,3.468,3.510,3.809,4.116,4.680,5.293,5.813,6.140,6.514,6.145,6.117,7.102,7.649,7.729,8.056,8.291,9.237,
360,805.698,690.849,626.942,568.969,525.939,612.231,587.003,567.639,600.479,633.299,693.964,739.751,753.715,702.671,622.590,521.200,445.186,501.206,654.795,403.786,186.454,133.266,100.804,72.349,308.251,4016.620,7208.894,2670.481,101.859,3.022,2.284,2.383,2.418,2.425,2.967,2.779,2.808,3.087,3.248,3.729,4.107,4.223,4.672,5.375,5.745,6.576,6.621,6.605,6.304,7.931,8.416,8.646,9.049,8.945,10.042,
365,853.830,736.408,669.448,627.603,577.464,667.997,630.415,606.538,631.323,656.250,713.034,771.275,799.558,764.644,686.811,600.139,508.664,434.699,534.222,620.565,335.367,179.024,132.647,95.955,66.146,330.059,3959.684,7166.132,2454.464,106.672,3.057,2.445,2.420,2.858,2.683,3.311,3.086,3.487,3.654,4.049,3.908,4.540,4.753,5.366,5.537,6.385,7.184,6.721,7.160,8.194,8.967,9.349,9.901,9.880,10.658,
370,900.938,791.228,730.614,679.384,622.349,718.016,684.228,643.806,662.293,675.952,742.137,810.743,858.200,833.300,774.421,679.040,593.874,488.918,439.475,570.141,564.471,286.168,169.678,123.873,86.233,58.778,307.092,3801.534,6862.880,2585.827,126.568,3.235,3.037,3.112,3.238,3.513,3.678,3.869,3.975,4.120,4.258,4.711,5.067,5.569,5.993,6.746,7.126,7.141,7.319,8.773,9.908,10.148,10.644,10.892,11.756,
375,945.474,848.996,785.214,730.418,678.017,774.326,726.965,676.516,684.337,714.320,773.521,863.175,922.586,917.223,871.231,777.635,684.350,566.716,477.061,450.689,588.933,494.697,247.001,157.588,114.070,75.732,50.315,245.692,3604.507,7169.996,2944.234,121.447,3.888,3.540,3.771,4.078,4.309,4.460,4.409,4.623,4.751,5.207,5.501,5.878,6.279,7.300,7.477,7.460,7.840,9.312,10.616,10.937,11.631,11.679,12.610,
380,979.299,890.185,842.993,782.597,722.727,810.205,761.276,705.285,715.854,732.677,802.497,904.116,996.894,997.286,957.428,870.599,767.708,640.553,542.481,455.979,461.122,572.123,413.418,206.853,138.429,95.608,65.066,45.545,279.022,3613.398,6972.635,2713.327,126.472,4.824,4.551,4.752,4.882,5.288,5.040,5.011,4.947,5.241,5.689,6.449,6.631,7.426,7.991,7.919,8.226,9.683,11.384,11.558,12.213,12.187,13.411,
385,1006.508,935.801,872.703,826.311,751.640,859.903,809.414,725.077,727.821,749.550,828.165,939.095,1039.404,1061.765,1034.752,952.878,850.481,714.965,597.809,506.957,426.877,459.635,529.129,327.809,173.976,116.111,83.669,58.200,42.346,242.741,3437.221,7209.869,2824.237,139.190,5.794,5.477,5.486,5.452,5.590,5.696,5.463,5.819,6.110,6.646,6.805,7.932,8.188,8.316,8.295,10.523,11.514,11.974,13.050,12.843,14.187,
390,1063.729,961.807,894.417,836.492,772.386,887.789,817.933,742.371,733.733,741.963,831.931,957.020,1078.722,1114.499,1103.073,1024.031,916.220,775.338,656.329,552.503,460.641,397.521,449.984,462.065,262.161,142.412,102.065,75.689,54.331,40.422,214.647,3381.569,7208.246,2948.642,120.601,6.709,6.337,6.199,6.162,6.060,6.255,6.354,6.654,7.011,7.270,8.135,8.549,8.447,8.674,10.593,11.719,12.183,12.904,13.269,14.595,
395,1095.484,987.122,917.669,860.358,816.279,916.502,853.591,744.289,739.778,750.838,839.023,972.676,1104.268,1160.604,1158.105,1085.339,976.010,831.512,709.022,593.840,498.101,419.596,372.192,440.372,389.072,202.803,126.309,94.321,70.270,52.142,39.198,249.386,3519.844,6942.320,2414.792,109.607,7.721,7.203,6.789,6.532,6.821,6.943,6.913,7.247,7.507,8.512,8.841,8.588,8.705,11.025,12.041,12.439,13.407,14.024,14.810,
400,1142.287,1030.498,966.604,913.093,855.125,972.400,893.763,777.653,755.681,767.104,858.105,997.621,1147.498,1218.943,1220.177,1164.541,1058.840,907.954,773.372,657.177,549.651,460.760,383.421,357.842,420.377,325.322,172.877,119.572,91.645,69.294,51.041,38.464,217.666,3222.990,6447.393,2327.978,116.117,8.349,7.774,7.500,6.994,7.209,7.453,7.926,7.968,8.792,9.463,9.315,9.380,11.376,12.524,13.065,14.064,14.578,15.578,
405,1245.044,1100.624,1032.889,961.738,918.840,1052.542,966.350,833.852,802.849,803.690,903.448,1053.745,1218.969,1300.180,1314.925,1254.520,1161.855,1003.577,869.080,738.006,622.341,519.437,438.174,365.258,364.900,405.052,280.098,160.911,119.536,92.769,70.010,51.138,39.251,185.008,3006.390,5699.546,2249.631,124.210,9.059,8.067,8.047,8.152,8.065,8.746,8.646,9.639,10.087,9.721,10.047,12.092,13.486,13.968,14.781,15.307,16.662,
410,1359.825,1198.563,1099.297,1044.411,993.491,1135.192,1041.359,902.385,851.688,849.243,944.854,1109.013,1285.943,1383.809,1412.525,1371.557,1272.857,1111.682,966.186,828.524,696.647,590.159,502.142,420.314,359.817,376.275,387.897,249.096,157.127,121.733,94.865,72.021,53.777,40.649,204.198,2755.817,5207.384,1990.851,100.896,9.982,8.805,8.861,8.636,9.338,9.650,10.307,10.787,10.609,10.578,12.760,14.384,14.764,16.057,16.218,18.117,
415,1396.949,1250.945,1163.795,1115.763,1067.831,1230.938,1125.450,961.747,904.609,886.789,990.087,1144.397,1330.508,1438.447,1481.611,1447.893,1360.539,1199.511,1055.481,908.228,778.341,663.304,562.303,479.859,405.007,357.393,395.524,366.661,229.045,159.358,124.083,97.223,74.373,55.511,43.992,170.519,2412.238,4640.312,1833.910,89.776,10.835,9.904,9.350,10.144,9.931,10.819,11.696,11.058,11.081,13.598,15.457,15.857,16.843,17.533,19.461,
420,1445.190,1309.755,1206.704,1138.708,1099.848,1268.909,1179.405,1005.061,927.844,900.521,1003.004,1155.676,1339.902,1447.545,1509.336,1488.871,1414.300,1263.094,1116.302,971.749,837.171,717.076,616.020,532.493,457.334,392.388,361.531,398.929,332.432,212.622,155.772,122.171,97.654,75.352,58.758,47.657,158.957,2043.001,4183.989,1605.570,87.535,11.194,10.187,10.449,10.435,11.292,12.044,11.419,11.546,14.061,15.974,16.238,17.688,17.722,19.691,
425,1473.574,1306.320,1217.645,1150.302,1119.420,1300.104,1213.944,1030.942,944.644,919.250,990.769,1151.540,1329.569,1439.788,1506.751,1490.788,1425.478,1294.804,1148.795,1008.049,878.447,765.288,662.719,576.494,501.999,431.671,375.087,365.948,390.851,298.715,197.036,149.337,120.337,96.615,78.031,62.004,50.685,150.404,1902.512,3929.603,1440.949,72.432,11.480,11.166,11.139,11.756,12.043,11.610,11.622,14.082,15.902,16.343,17.752,17.953,20.154,
430,1456.396,1294.022,1221.778,1147.539,1123.428,1303.767,1219.691,1036.117,961.305,913.229,987.096,1123.767,1299.899,1417.809,1476.881,1467.898,1420.096,1295.218,1165.209,1033.685,914.870,797.847,697.499,611.643,539.793,471.993,409.730,362.234,367.486,370.690,267.635,184.041,145.724,118.038,99.502,81.318,66.723,54.521,117.547,1843.051,3657.104,1332.855,71.031,12.226,11.180,11.768,11.984,11.485,11.529,14.327,15.703,16.427,17.387,17.914,20.096,
435,1449.046,1266.145,1188.873,1119.224,1114.606,1310.770,1233.810,1057.506,956.081,908.527,966.293,1098.477,1260.646,1362.855,1428.205,1427.309,1389.925,1276.745,1161.438,1049.078,932.115,818.842,725.229,638.048,568.609,495.909,436.565,384.165,345.878,360.393,337.984,235.640,172.533,139.410,117.479,102.623,85.502,69.795,55.681,125.665,1609.864,3271.125,1273.989,93.089,12.084,12.168,12.105,11.259,11.411,13.970,15.630,16.319,17.205,17.809,19.648,
440,1405.250,1232.648,1152.924,1124.004,1101.313,1306.701,1214.067,1059.261,954.833,899.927,939.773,1065.429,1207.750,1309.734,1376.338,1387.943,1356.057,1258.642,1155.921,1047.562,933.201,833.692,740.772,661.706,591.064,519.730,458.268,406.898,358.523,331.453,347.831,301.626,209.682,160.803,134.652,118.723,104.860,86.288,69.559,55.604,118.094,1555.805,2954.178,1274.545,82.661,12.600,12.218,11.638,11.447,13.586,15.194,15.893,16.901,17.564,19.587,
445,1379.921,1178.628,1123.474,1091.045,1059.557,1280.252,1204.071,1048.761,953.161,887.625,924.035,1021.176,1161.689,1250.678,1305.542,1315.817,1300.152,1217.634,1123.812,1033.013,930.693,834.699,745.711,671.509,598.580,532.303,472.020,419.513,374.152,330.659,312.285,328.240,269.507,187.638,153.479,135.834,119.906,106.224,86.755,68.827,55.152,100.613,1234.505,2814.327,1241.907,68.825,13.074,11.350,11.153,13.271,14.596,15.149,16.412,17.338,19.301,
450,1622.699,1139.211,1071.197,1042.053,1037.074,1241.579,1183.886,1018.994,943.031,863.823,888.584,976.302,1099.210,1178.796,1231.619,1246.952,1230.614,1161.327,1084.762,1002.387,907.728,819.330,741.120,670.546,597.371,534.655,475.669,429.049,381.360,340.045,301.382,299.021,301.808,230.454,172.506,149.880,132.769,119.832,104.471,85.263,67.839,51.843,85.850,1204.469,2600.512,1052.858,64.374,11.799,11.137,12.911,14.592,14.728,16.301,16.359,18.231,
455,2422.033,1100.874,1013.859,992.061,982.982,1192.414,1152.927,995.888,916.584,845.863,855.545,925.370,1029.786,1104.176,1149.733,1165.544,1159.330,1098.382,1027.801,954.203,876.818,793.014,715.691,651.979,586.789,523.486,472.248,425.524,380.801,341.256,303.451,275.162,282.273,268.265,201.351,162.505,144.986,129.872,117.607,98.907,80.712,62.653,48.368,92.076,1147.986,2303.637,908.472,48.266,11.173,12.390,13.509,14.056,15.036,15.874,17.779,
460,3375.278,1342.963,933.722,920.616,932.693,1127.781,1105.870,950.496,879.049,814.128,818.858,879.138,963.512,1018.540,1060.142,1072.768,1066.633,1013.559,962.557,899.157,826.150,755.176,686.752,627.137,565.888,507.837,456.938,416.424,376.467,340.444,302.200,269.706,252.772,262.427,238.067,181.661,152.993,139.445,124.682,109.753,92.687,72.784,55.943,43.472,77.518,960.534,2222.979,870.390,46.838,12.275,13.243,13.397,14.382,14.886,16.681,
465,3141.285,2218.423,930.254,865.016,876.264,1071.485,1054.420,917.391,852.290,772.003,778.958,824.745,892.062,933.156,968.610,978.187,975.240,937.989,884.122,833.453,774.504,704.241,645.147,593.170,538.329,486.103,440.060,401.768,366.213,331.670,299.294,267.009,240.406,228.210,241.135,208.801,163.301,143.429,128.341,113.247,98.996,80.295,62.241,48.565,37.061,62.722,967.491,2128.400,828.817,63.151,12.927,12.922,13.598,14.035,15.475,
470,1924.284,3153.718,1248.179,814.737,807.329,995.084,989.648,873.276,810.922,742.387,735.466,773.972,823.653,858.718,884.730,885.732,885.870,855.951,813.555,770.235,718.092,659.799,606.902,559.225,508.977,463.130,421.144,385.041,352.868,321.308,293.228,263.165,234.876,212.080,213.639,220.928,181.133,145.866,129.542,114.990,98.917,84.640,66.830,51.282,38.506,30.815,65.703,974.167,1897.894,850.134,50.938,12.755,12.902,13.234,14.756,
475,999.633,2970.078,2163.008,778.989,748.822,935.360,912.922,826.990,775.851,707.028,695.617,721.088,765.433,787.022,800.205,805.627,806.948,775.648,744.560,703.583,659.536,606.452,559.415,518.336,477.923,433.311,396.812,364.320,337.842,310.358,282.819,256.860,231.640,205.836,189.516,200.816,196.581,157.685,129.588,114.514,97.863,82.816,69.507,54.228,40.591,31.928,25.431,53.829,780.486,1847.632,738.343,43.781,12.484,12.541,14.077,
480,777.830,1780.345,3009.687,1082.806,691.697,861.142,854.327,784.813,730.772,669.074,652.306,677.607,706.137,717.999,729.830,730.844,726.432,702.466,677.369,640.255,603.736,554.382,519.318,479.101,441.911,404.009,374.829,345.850,319.883,297.020,272.957,249.934,226.248,200.448,181.172,172.917,185.500,171.427,134.681,111.283,96.644,80.956,68.200,57.595,43.803,33.459,26.802,22.040,47.583,713.145,1713.547,740.061,46.644,12.390,13.550,
485,727.683,849.282,2600.894,1935.755,680.216,805.443,799.264,740.505,698.724,639.278,624.351,636.394,657.064,662.087,663.734,663.786,659.623,636.920,615.096,583.914,551.423,508.999,475.731,442.866,410.808,378.890,352.811,327.691,307.548,283.574,261.987,239.364,218.553,196.153,176.845,162.890,161.746,170.614,146.987,113.196,95.758,79.821,67.387,57.134,46.340,35.660,28.137,23.062,19.790,52.186,792.540,1673.940,646.194,41.276,12.769,
490,732.118,595.689,1416.365,2734.306,1007.666,744.798,747.134,690.559,658.093,606.992,591.018,595.750,608.096,604.199,602.781,599.107,592.913,572.255,552.038,533.343,501.401,466.938,433.229,406.706,379.961,349.639,328.338,307.132,288.741,270.176,250.025,229.348,211.439,188.021,170.396,156.139,144.126,147.936,151.587,122.456,94.754,78.682,66.185,55.318,47.325,39.312,30.571,24.347,21.051,19.537,48.588,681.962,1637.150,659.347,42.623,
495,774.631,551.400,630.272,2395.262,1847.391,739.299,697.994,639.759,617.475,570.041,558.918,553.061,559.620,550.447,545.981,533.690,536.808,517.571,501.214,481.662,454.874,421.207,394.093,370.103,347.914,324.333,303.949,287.201,271.544,253.950,237.646,220.195,202.298,179.389,164.831,150.739,136.010,128.717,135.073,129.933,100.775,78.059,65.491,55.095,45.502,40.806,34.207,26.253,22.044,20.557,18.713,40.516,739.620,1529.557,659.634,
500,775.304,537.237,483.119,1304.553,2593.408,1148.666,642.727,592.180,584.090,540.244,519.974,517.423,519.912,507.806,494.956,490.561,491.524,473.911,449.654,435.091,411.154,385.337,359.107,341.602,318.483,298.096,282.285,269.704,255.684,242.606,224.560,211.080,193.002,172.472,156.537,142.901,130.258,120.487,115.398,122.436,108.552,81.242,64.545,54.218,44.962,39.381,36.122,29.433,23.228,21.033,19.343,17.461,48.541,612.665,1491.035,
505,685.729,590.404,439.877,571.361,2246.557,2171.042,633.713,555.364,541.317,506.690,493.083,483.020,482.700,462.166,452.398,438.916,435.630,421.795,410.120,391.353,372.732,345.568,326.039,310.297,295.066,276.150,260.691,249.879,238.731,228.026,213.236,198.715,183.134,164.862,149.434,136.744,123.907,112.555,104.575,104.813,107.660,88.298,65.331,54.491,45.060,39.211,34.472,31.467,26.020,22.693,20.181,18.468,16.706,39.546,632.664,
510,534.091,616.333,436.952,405.293,1160.200,3093.310,1021.781,513.060,508.478,474.750,459.654,454.813,447.206,425.715,408.263,398.249,393.345,378.522,366.235,351.172,334.165,310.570,293.747,281.799,268.903,253.296,241.855,231.420,222.635,210.237,199.041,185.919,172.556,154.752,141.405,128.576,116.933,106.017,97.508,90.241,92.673,92.126,71.774,54.877,45.186,39.041,34.521,30.792,28.612,25.377,21.338,18.921,17.522,16.212,37.633,
515,408.998,560.612,466.335,367.905,486.975,2594.424,2016.426,535.595,468.792,441.890,430.175,420.430,412.822,390.587,370.662,363.853,357.318,342.629,330.604,316.859,302.931,282.263,265.307,254.614,243.543,231.194,221.777,213.951,205.518,198.178,184.070,174.420,161.541,146.254,133.365,121.624,109.630,99.537,91.548,83.506,79.107,82.977,77.257,58.356,44.739,39.437,34.634,29.945,28.019,28.462,23.435,19.969,18.080,17.184,16.069,
