300,322.961,136.150,60.252,50.761,51.248,74.621,113.359,313.266,935.357,714.551,244.923,130.316,425.498,4141.488,9356.314,2508.228,145.954,3.306,2.557,2.342,2.007,1.524,1.351,1.265,1.390,1.322,1.566,1.403,1.126,0.869,0.772,1.368,1.932,2.683,2.990,2.433,2.052,2.040,2.177,2.420,2.380,2.695,3.003,3.457,3.555,3.761,3.361,2.663,1.858,1.722,1.488,1.320,1.251,1.400,1.546,
305,331.214,147.101,88.460,69.830,71.183,99.882,125.224,166.101,424.833,959.240,632.539,185.696,84.971,320.595,4275.060,7013.826,2583.976,121.049,3.209,2.404,2.016,1.286,1.313,1.166,1.168,1.468,1.772,1.381,0.983,0.823,1.017,1.373,2.110,2.968,3.061,2.444,2.231,2.209,2.175,2.316,2.605,2.843,2.989,3.584,3.728,4.005,3.597,2.813,2.110,1.776,1.740,1.456,1.468,1.641,1.807,
310,331.314,165.497,104.643,85.136,86.135,121.342,142.003,162.111,221.710,556.684,950.090,480.099,113.623,72.851,369.116,3852.554,6397.115,2277.626,127.172,3.368,2.470,1.650,1.573,1.477,1.297,1.563,1.604,1.268,1.052,1.002,0.791,1.335,1.982,2.790,3.012,2.639,2.173,2.136,2.088,2.250,2.460,2.625,3.161,3.432,3.517,3.831,3.619,2.814,2.241,1.956,1.877,1.844,1.816,2.007,2.061,
315,314.168,164.391,120.177,106.121,104.191,132.323,145.556,163.470,201.478,253.348,615.109,888.066,337.630,99.997,75.063,343.376,3466.873,6234.916,2436.922,126.373,2.766,2.016,1.771,1.822,1.530,1.623,1.813,1.515,1.021,0.864,0.978,1.267,1.624,2.566,2.783,2.460,2.300,2.263,2.264,2.331,2.543,2.752,2.971,3.506,3.440,3.612,3.403,2.776,2.239,2.202,2.105,2.165,2.057,2.160,2.556,
320,310.306,182.189,132.045,122.910,127.391,151.565,155.244,171.172,200.698,214.972,274.051,683.434,791.191,270.297,91.949,65.326,242.732,3122.525,6310.663,2794.428,104.778,2.695,1.942,1.532,1.494,1.654,1.584,1.590,1.024,0.958,1.056,1.204,1.835,2.262,2.597,2.389,2.095,2.205,2.066,2.293,2.510,2.680,2.933,3.308,3.396,3.601,3.613,2.672,2.295,2.495,2.281,2.320,2.511,2.512,2.705,
325,318.739,207.656,148.898,141.632,137.468,165.485,158.834,176.904,198.815,214.918,223.904,310.939,775.711,670.722,185.552,78.483,57.377,273.878,3367.412,6638.229,2011.768,87.728,2.687,1.880,1.616,1.819,1.659,1.427,1.150,0.932,1.132,1.239,1.645,2.225,2.300,2.141,2.141,2.050,2.419,2.317,2.503,2.809,2.913,3.188,3.420,3.555,3.370,2.836,2.582,2.543,2.581,2.369,2.508,2.729,2.961,
330,325.551,217.285,164.824,155.032,150.124,172.780,175.222,179.331,204.058,218.654,228.290,224.152,365.922,776.474,531.372,138.563,71.182,51.491,239.668,3003.350,5614.018,2061.259,86.175,2.560,1.882,1.833,1.983,1.590,1.387,0.957,1.186,1.170,1.537,2.117,2.198,2.108,2.030,2.126,2.142,2.256,2.223,2.499,2.857,3.104,3.240,3.455,3.115,2.823,2.473,2.554,2.659,2.741,2.827,2.766,3.327,
335,331.905,225.375,186.092,166.684,161.887,192.932,190.876,192.131,214.584,223.973,237.420,233.144,229.996,409.143,757.764,401.825,109.275,62.330,48.469,223.504,3185.946,5694.822,1856.788,76.718,2.314,1.769,2.040,1.711,1.013,0.914,1.100,1.246,1.604,1.888,2.185,1.809,2.128,2.178,2.355,2.251,2.410,2.747,2.795,3.110,3.228,3.445,3.355,2.828,2.492,2.735,2.917,2.946,3.062,3.205,3.288,
340,338.506,241.505,194.162,182.266,174.442,211.038,205.912,205.564,224.404,233.130,247.122,247.178,236.149,237.323,495.028,680.922,293.747,84.780,60.039,47.745,279.997,3292.983,5183.921,1684.008,71.445,2.423,2.069,1.839,1.320,1.185,1.015,1.144,1.265,1.766,2.114,1.903,2.180,2.117,2.085,2.402,2.356,2.660,2.780,3.152,3.304,3.381,3.521,3.024,2.711,2.818,2.940,2.992,3.117,3.189,3.666,
345,336.277,259.788,214.012,208.606,192.465,230.821,224.086,222.876,238.345,247.657,267.469,269.420,264.310,243.370,253.806,525.060,607.831,211.310,81.592,60.831,46.907,242.191,2960.309,5048.046,1743.648,73.978,2.861,1.877,1.535,1.180,1.167,1.186,1.483,1.764,1.862,1.861,2.066,2.282,2.108,2.273,2.222,2.700,2.741,3.130,3.197,3.455,3.360,2.916,2.783,3.186,3.275,3.504,3.424,3.818,3.863,
350,361.567,289.170,252.139,233.386,217.738,255.366,244.866,239.763,251.541,260.595,284.807,293.587,291.524,274.166,242.772,279.862,562.281,489.292,163.655,80.020,61.819,47.675,244.897,2856.347,4655.576,1750.983,60.518,2.386,1.586,1.449,1.334,1.318,1.378,1.756,1.831,2.124,2.116,2.138,2.295,2.241,2.513,2.770,2.810,2.939,3.094,3.372,3.560,3.049,3.080,3.422,3.833,3.775,4.006,4.058,4.440,
355,378.563,314.001,280.360,263.313,243.504,281.112,266.832,258.781,273.847,277.080,299.536,312.703,318.995,301.245,272.400,238.590,317.304,580.274,395.925,134.392,81.437,63.904,48.173,284.051,2686.958,4966.782,1638.272,50.362,2.220,1.438,1.333,1.523,1.703,1.870,1.993,1.869,2.170,2.178,2.352,2.427,2.597,2.762,2.925,3.058,3.316,3.448,3.569,3.330,3.231,3.785,4.047,4.375,4.575,4.594,4.759,
360,395.798,354.144,321.943,303.603,267.768,308.353,294.052,283.479,289.235,295.018,316.837,339.758,346.652,336.399,308.922,270.569,246.905,363.906,563.964,331.282,125.737,85.838,67.076,49.733,228.675,2819.493,4833.696,1578.444,58.621,2.088,1.542,1.749,1.467,1.841,1.943,2.035,2.254,2.196,2.299,2.415,2.512,2.808,2.977,3.126,3.452,3.630,3.919,3.630,3.597,4.376,4.864,4.765,5.300,5.160,5.632,
365,422.223,397.280,369.990,352.670,309.502,346.120,322.913,295.026,304.477,312.328,334.297,357.698,379.380,369.740,338.767,302.773,270.751,256.429,411.366,531.074,258.452,119.455,88.795,65.832,47.626,234.395,2705.528,4576.438,1490.149,57.552,2.249,1.764,1.637,1.921,2.201,2.040,2.155,2.302,2.292,2.480,2.496,2.797,3.113,3.300,3.433,3.925,3.971,3.826,4.000,4.808,5.496,5.657,5.966,5.872,6.005,
370,457.254,440.887,426.694,407.789,344.288,372.049,343.204,309.572,325.908,327.128,354.616,373.950,400.016,395.304,367.512,336.836,303.151,269.920,269.045,452.955,474.740,211.837,114.537,86.343,61.390,45.663,229.899,2533.589,4509.859,1499.966,58.832,2.454,1.959,2.110,2.287,2.046,2.424,2.618,2.588,2.723,2.876,3.077,3.110,3.459,3.597,3.927,4.155,4.125,4.107,5.285,5.986,6.223,6.752,6.695,6.714,
375,489.137,464.444,471.333,440.391,380.523,404.383,365.302,335.626,339.473,338.696,361.357,390.313,418.110,413.309,395.923,361.949,336.145,297.180,269.915,291.857,475.981,409.401,180.779,108.161,80.197,57.764,42.307,185.069,2304.272,4341.338,1590.110,65.099,2.454,2.442,2.392,2.342,2.372,2.709,2.610,2.890,2.841,3.071,3.281,3.558,3.686,4.124,4.458,4.438,4.745,5.651,6.819,6.887,7.157,7.010,7.351,
380,521.799,510.157,493.445,475.343,409.696,423.511,378.509,346.152,347.319,349.824,368.226,402.346,426.015,434.219,413.470,383.546,357.163,324.386,293.334,266.520,317.988,469.892,331.464,149.253,97.156,72.416,50.490,37.084,173.253,2150.207,4256.502,1536.208,83.719,2.991,2.303,2.408,2.584,2.747,2.718,2.998,2.833,3.135,3.550,3.679,4.075,4.115,4.743,4.819,4.896,6.149,7.080,7.325,7.590,7.360,7.943,
385,520.747,522.364,519.307,490.080,423.382,436.666,388.203,350.076,348.261,345.745,366.427,400.382,421.495,428.370,415.716,397.480,372.179,339.862,310.087,280.077,258.591,329.831,438.134,258.491,122.329,84.958,62.506,44.322,31.474,148.176,2108.994,4436.456,1748.444,67.092,3.113,2.844,2.876,2.830,2.801,3.166,2.996,3.293,3.572,3.892,4.031,4.441,4.759,4.843,5.096,6.136,7.121,7.510,7.954,7.943,8.111,
390,523.842,513.105,520.870,491.300,421.040,437.872,385.850,338.726,338.578,337.069,354.643,385.986,411.845,424.117,415.751,398.466,377.674,347.868,317.871,294.585,261.934,242.226,336.904,381.656,199.298,100.334,71.932,53.717,36.327,26.598,151.683,2229.863,4187.803,1788.961,110.626,3.215,2.935,2.957,2.890,3.037,3.128,3.228,3.461,3.899,3.874,4.237,4.810,4.845,5.090,6.219,7.189,7.649,8.000,8.007,8.116,
395,514.667,514.063,510.412,484.401,419.090,436.606,382.565,335.889,332.407,326.191,340.503,370.945,405.399,414.728,407.901,391.596,381.006,350.875,326.044,298.170,269.392,236.907,234.946,340.332,311.771,144.787,81.735,61.145,44.104,30.578,23.488,165.493,1910.467,5165.205,1689.712,62.840,3.623,2.994,3.257,3.270,3.010,3.541,3.477,3.896,3.943,4.278,4.757,4.702,5.039,6.048,7.308,7.413,8.095,7.666,8.023,
400,525.433,507.748,516.086,488.731,427.969,440.954,389.141,339.344,325.608,322.277,332.422,361.231,394.102,409.145,409.292,400.218,385.972,361.995,339.018,310.388,281.445,249.410,216.513,227.938,325.045,248.825,112.693,69.971,51.309,37.655,27.439,20.856,106.708,3382.888,4427.253,1491.613,84.576,3.759,3.400,3.249,3.378,3.686,3.572,3.857,4.035,4.344,4.773,4.820,4.894,6.147,7.120,7.374,7.993,7.922,8.114,
405,539.514,513.666,515.109,494.640,438.748,461.588,393.715,340.819,331.401,323.652,336.937,364.909,397.540,415.306,420.420,409.724,400.214,377.177,355.152,331.700,297.371,265.372,229.333,202.459,230.787,303.602,196.032,90.640,61.669,45.474,34.430,24.693,19.876,207.120,2005.539,3855.942,1652.250,67.362,3.948,3.458,3.632,3.714,3.903,4.186,4.187,4.538,4.937,4.893,5.075,6.318,7.007,7.542,8.042,8.208,8.417,
410,546.319,533.963,536.244,507.866,450.985,490.040,413.282,367.717,341.155,329.197,340.156,369.769,402.721,425.090,432.822,429.613,423.112,396.966,379.780,349.150,319.544,281.468,250.707,216.468,190.516,240.911,275.036,151.575,76.027,54.403,42.093,32.144,23.777,19.055,145.794,1820.621,3941.807,1509.763,83.712,4.018,3.731,4.048,4.137,4.184,4.380,4.597,4.893,5.046,5.430,6.357,7.263,7.736,8.312,8.485,8.670,
415,558.328,529.179,521.844,508.957,456.992,501.133,430.626,368.805,349.559,328.282,342.256,370.400,405.980,426.570,436.723,435.656,433.388,415.408,395.963,369.365,337.023,301.258,266.090,229.917,195.972,179.595,242.601,238.792,118.367,67.052,49.983,38.853,29.634,22.529,18.253,100.094,1821.014,4427.896,1936.634,87.365,4.336,4.500,4.235,4.389,4.431,5.083,5.032,4.847,5.393,6.459,7.439,7.682,8.264,8.520,8.765,
420,547.778,528.557,522.227,511.763,462.145,501.043,439.081,370.979,349.727,328.446,340.522,367.178,402.468,418.971,437.352,439.208,437.226,421.289,404.840,378.807,351.090,317.926,278.541,242.450,207.623,176.312,174.485,235.791,194.024,93.864,58.875,45.212,35.258,27.784,20.882,17.636,116.311,2558.367,4736.694,1435.091,69.778,4.829,4.293,4.547,4.549,4.938,5.411,5.106,5.378,6.458,7.206,7.502,8.132,8.233,8.633,
425,543.027,514.069,505.482,497.917,460.282,497.886,441.144,375.610,342.324,320.210,331.099,354.846,392.118,412.197,431.231,434.859,437.010,428.772,410.492,384.767,358.829,324.909,286.380,254.567,217.969,182.106,156.375,173.988,223.760,153.640,75.253,50.701,39.632,32.457,25.011,18.959,16.041,145.844,2884.760,3502.409,1481.435,61.529,4.708,4.481,4.586,4.914,5.055,5.048,5.277,6.308,7.187,7.276,8.214,8.127,8.854,
430,527.243,514.080,502.614,479.786,446.206,492.307,439.605,369.458,339.813,314.832,324.435,348.314,379.371,397.780,418.699,425.423,435.632,424.243,415.900,394.247,366.981,335.288,296.422,260.702,226.286,190.607,164.164,142.254,172.076,202.626,123.182,61.538,43.365,34.228,29.140,22.833,16.653,15.076,137.391,1689.230,4931.801,1578.444,66.800,4.633,4.629,4.863,5.120,4.836,5.319,6.197,6.818,7.253,7.806,7.856,8.643,
435,507.166,497.372,476.864,478.448,446.296,489.633,428.018,364.803,333.406,308.564,314.440,337.812,366.748,387.792,407.893,419.257,429.104,420.559,412.680,398.712,371.426,339.728,307.878,270.143,233.868,201.833,171.389,146.972,134.259,171.137,177.147,94.175,50.841,38.266,30.966,26.642,20.398,15.854,13.759,99.810,2373.482,7595.009,1359.480,68.275,4.894,4.819,5.189,4.942,5.375,6.095,6.873,7.224,7.693,7.777,8.366,
440,499.124,474.053,451.173,450.995,430.959,489.691,430.208,361.035,330.702,300.844,306.777,323.857,360.331,376.978,393.513,407.460,421.750,419.481,408.413,396.994,376.754,343.835,311.915,277.684,240.639,208.361,180.427,153.161,130.785,127.248,167.337,145.951,72.340,42.364,33.370,27.809,23.831,18.350,13.568,12.693,115.862,5039.892,3243.878,1123.526,59.738,5.389,5.059,4.682,5.283,6.060,6.674,6.745,7.314,7.518,8.273,
445,499.037,442.526,451.867,431.957,411.068,470.741,419.551,357.424,322.312,298.922,295.548,312.448,342.387,361.940,385.497,395.454,405.843,408.602,401.819,392.519,372.885,344.389,313.474,281.361,248.573,214.416,183.892,160.646,135.802,116.355,120.975,158.007,115.916,54.827,35.970,29.458,24.699,22.295,15.904,13.075,12.318,119.231,1480.960,2547.234,1260.514,62.771,5.395,4.776,5.347,5.943,6.307,6.672,7.178,7.605,8.124,
450,734.577,431.942,419.036,419.620,402.573,462.902,411.139,347.516,311.644,283.217,284.718,299.917,330.102,346.343,369.607,379.531,393.451,396.342,392.756,382.121,365.245,341.717,310.089,279.602,246.579,215.560,188.773,161.849,138.888,117.363,100.286,115.255,139.054,86.674,41.838,30.445,24.740,22.300,19.268,14.541,12.130,12.436,60.441,1563.593,3048.491,1290.663,59.245,4.925,5.573,5.721,6.071,6.315,7.095,7.025,7.820,
455,1405.901,428.654,396.886,389.580,379.520,431.284,395.811,333.095,298.546,267.899,270.760,283.600,310.561,330.331,345.841,357.559,373.347,377.474,374.578,367.016,350.962,330.238,301.275,271.820,242.532,214.666,183.500,161.732,139.274,117.268,97.838,86.953,111.002,117.027,62.181,33.827,25.921,22.361,19.451,17.708,13.194,11.667,10.880,89.714,1644.041,3596.760,1628.805,62.946,5.619,5.893,6.015,5.794,6.606,6.981,7.559,
460,2264.520,653.316,366.491,371.065,360.677,416.455,367.348,315.084,282.858,260.372,257.801,269.146,290.431,305.301,321.749,338.581,351.841,354.280,353.856,348.451,334.739,313.301,288.129,261.257,233.064,204.316,179.920,156.109,134.925,116.399,96.553,79.166,74.553,104.125,93.020,46.573,28.083,23.097,19.235,18.714,16.457,12.305,10.530,10.101,60.972,1531.357,4326.026,1131.244,77.939,6.111,5.759,6.120,6.207,6.499,7.106,
465,2162.452,1344.434,374.150,340.775,330.839,384.793,355.984,301.436,270.385,241.995,243.901,252.435,270.717,285.609,299.752,310.776,321.595,327.913,328.554,326.821,314.039,292.304,270.281,246.017,221.173,195.491,171.709,151.470,130.028,112.131,94.793,76.957,62.863,69.030,95.126,72.029,34.815,24.001,19.842,17.655,18.020,14.711,11.176,9.732,9.600,50.067,1206.427,2940.933,5487.088,88.465,5.948,5.824,6.191,6.457,6.343,
470,1237.611,2083.013,625.187,315.066,309.941,355.731,328.024,281.850,258.290,226.022,228.640,234.961,257.360,264.569,276.304,285.579,295.024,300.977,301.932,299.984,291.166,272.354,254.694,233.365,206.980,184.896,163.068,142.356,124.660,108.058,91.158,75.881,60.709,52.571,67.358,84.318,53.952,28.075,20.355,17.962,16.628,16.983,13.666,10.445,9.092,9.546,43.978,1416.649,6537.729,1979.961,50.070,5.897,5.776,6.094,6.189,
475,466.318,1975.287,1360.817,328.006,284.041,335.828,306.782,267.222,240.464,215.861,214.528,220.431,235.254,244.369,253.361,260.351,270.864,272.202,275.865,276.423,267.988,253.471,234.244,214.149,192.777,173.285,152.639,135.024,118.522,103.199,87.413,71.582,58.485,48.265,45.271,65.738,72.084,40.860,22.533,18.362,16.354,15.469,15.786,12.578,9.506,9.020,9.353,45.944,1931.196,6668.516,999.829,59.832,5.737,6.109,6.143,
480,314.461,1090.467,1951.056,597.163,265.718,304.863,287.397,251.595,224.306,201.385,197.818,204.505,216.661,223.029,232.376,238.327,245.743,248.549,253.617,250.617,244.319,232.018,216.551,197.641,179.805,160.727,141.771,126.099,111.190,96.530,82.058,68.784,57.254,46.347,39.752,42.706,63.825,59.527,30.714,19.551,16.493,14.683,14.844,15.079,11.493,9.320,9.007,8.526,50.211,2476.290,2440.313,1189.971,46.396,6.011,5.762,
485,315.466,399.399,1690.874,1309.467,283.377,285.740,268.985,230.217,210.938,189.432,186.054,188.950,199.942,201.972,213.100,216.782,223.988,225.948,228.160,227.909,223.645,211.201,196.858,184.614,165.497,148.078,132.648,118.791,105.725,91.015,78.497,65.659,53.883,44.653,38.051,34.371,41.905,61.045,46.975,23.980,17.159,14.913,13.492,14.269,14.134,10.483,8.853,7.875,8.144,117.392,1344.598,2453.581,822.335,76.092,5.655,
490,370.861,238.955,855.522,1894.470,554.629,261.143,244.501,210.253,195.144,173.362,170.281,173.079,181.547,186.364,191.944,193.962,203.230,203.452,209.576,204.648,202.610,193.134,178.907,165.690,152.827,136.746,123.111,108.922,98.154,85.986,73.976,62.338,52.355,42.657,35.837,31.992,30.458,44.100,55.823,36.189,19.497,15.036,13.663,12.648,13.555,13.107,9.956,7.999,7.763,8.402,41.100,1226.766,2994.283,1830.020,47.338,
495,459.241,231.499,301.875,1609.620,1348.434,286.506,229.490,202.933,180.764,162.569,158.160,160.935,164.860,168.294,173.266,177.861,182.445,183.068,187.977,186.675,184.562,173.761,163.505,150.471,140.344,125.620,112.741,101.858,91.080,79.195,69.338,58.634,49.079,40.831,34.324,30.411,27.046,28.440,43.759,48.157,27.919,16.151,13.457,12.266,11.821,13.688,12.497,8.492,7.619,7.717,7.535,143.999,1595.411,4267.782,1201.613,
500,525.247,267.024,200.636,854.168,2229.486,607.295,208.200,184.785,168.019,151.919,145.246,147.347,152.965,153.675,156.852,159.981,164.024,164.781,166.921,166.535,165.709,157.195,148.721,139.130,126.234,115.714,103.590,94.166,84.548,74.026,64.340,54.548,46.086,38.953,32.925,29.125,25.830,24.493,28.207,44.363,39.768,21.301,13.748,12.192,11.480,11.490,13.162,10.995,7.926,7.572,7.149,6.988,55.775,757.265,2363.530,
505,464.674,332.491,189.816,281.444,2214.564,1462.584,221.210,170.775,156.247,138.657,136.526,134.682,138.188,138.659,143.949,143.626,146.727,148.052,147.966,148.163,146.055,141.910,132.910,126.362,116.110,104.633,95.969,86.168,77.023,68.456,59.805,50.934,43.548,35.751,30.986,27.353,24.729,23.030,21.268,29.940,41.622,31.487,16.828,12.547,10.787,10.393,10.756,12.057,9.720,7.484,6.770,6.672,6.766,35.537,1203.925,
510,297.168,423.099,205.493,169.072,794.547,2177.892,551.094,155.712,142.574,130.194,124.984,122.227,126.395,127.283,127.405,128.690,131.419,130.047,131.720,132.536,130.671,125.613,119.364,111.912,103.483,94.985,85.873,79.046,70.347,61.898,55.384,46.831,40.353,34.225,29.664,26.463,23.284,21.722,20.044,20.114,30.380,37.855,24.533,13.790,11.039,10.161,9.463,9.939,11.365,9.257,6.799,6.160,6.398,6.294,54.625,
515,194.560,404.219,264.296,147.813,234.135,1860.217,1359.864,178.892,131.859,117.174,114.178,113.206,117.269,114.258,116.342,116.533,118.484,117.375,117.659,118.973,118.330,112.290,107.513,101.141,94.168,86.843,77.817,71.342,64.928,57.632,50.800,43.012,37.438,31.600,27.136,24.778,22.229,20.765,18.647,17.793,19.560,31.203,31.839,18.868,11.572,10.163,9.288,8.400,9.952,11.616,8.354,6.406,5.507,6.053,6.431,
520,156.928,304.509,345.416,156.828,139.139,1020.366,2165.868,490.852,121.064,106.571,104.616,101.139,104.148,103.375,104.536,104.579,104.696,103.181,105.153,105.494,104.238,101.536,95.568,91.633,85.290,78.978,71.441,65.000,58.954,52.819,47.130,40.382,34.754,29.638,25.837,22.937,20.914,19.094,17.799,16.620,15.920,19.859,30.366,25.778,14.024,10.019,8.964,8.431,7.917,10.138,11.113,7.330,5.949,5.638,5.746,
