275,179.379,63.637,24.734,231.289,730.694,565.342,101.960,355.578,3281.395,5432.429,2083.751,102.611,3.103,1.859,1.279,1.263,1.041,0.773,0.876,0.796,0.948,0.414,0.809,0.779,0.693,0.847,1.132,0.949,0.979,0.919,0.990,1.500,1.973,2.122,1.793,1.555,1.281,1.373,1.525,1.613,1.637,1.794,1.898,2.196,2.281,2.358,2.335,1.723,1.136,0.751,0.744,0.847,1.608,5.791,13.271,
280,351.198,125.736,30.818,33.959,330.009,981.125,483.886,120.774,384.133,3392.744,5757.018,2155.632,99.045,3.159,2.292,1.732,1.206,0.967,0.940,1.114,0.752,0.527,0.734,0.965,0.752,1.003,1.032,0.842,0.680,0.855,1.157,2.136,3.377,3.756,2.866,2.119,1.684,2.092,1.896,2.260,2.566,2.820,3.339,3.800,3.888,4.058,3.619,2.663,1.682,1.208,0.840,0.829,0.843,1.090,3.184,
285,555.952,178.277,45.190,29.683,78.515,587.302,1060.803,448.948,190.332,495.844,3441.507,5990.581,2253.132,115.872,2.931,2.047,1.892,1.203,1.200,0.676,0.918,0.687,0.959,0.891,0.910,0.699,0.953,0.960,0.991,0.805,1.251,3.151,4.630,5.028,4.068,3.110,2.335,2.405,2.759,3.186,3.643,4.206,4.798,5.725,5.862,5.620,5.200,3.751,2.335,1.554,1.098,0.972,0.972,0.976,1.317,
290,713.338,236.539,62.768,41.314,64.325,189.260,856.038,1085.993,491.294,280.963,498.821,3509.787,6589.319,2471.061,108.062,3.099,2.018,1.438,1.519,1.200,0.767,0.738,0.780,0.708,0.638,1.003,1.110,1.069,1.034,0.926,1.518,3.792,5.777,7.027,5.411,3.610,3.086,3.246,3.527,3.907,4.462,5.219,6.401,7.260,7.467,7.566,6.716,4.729,2.776,1.793,1.279,1.164,1.168,1.274,1.435,
295,805.095,257.722,70.201,47.107,73.492,150.580,366.941,1038.496,1099.964,466.728,299.850,479.504,3826.654,6380.318,2305.582,102.738,2.882,1.888,1.654,1.410,1.066,1.068,0.458,0.835,0.684,0.891,1.105,1.139,0.990,1.002,1.661,4.223,6.543,7.513,6.040,3.975,3.314,3.343,3.647,4.299,4.943,6.072,6.843,8.247,8.503,8.515,7.216,4.978,3.071,2.080,1.366,1.141,1.323,1.291,1.554,
300,796.259,259.609,75.541,53.832,79.052,162.099,263.963,523.793,1200.200,941.977,407.976,210.536,403.726,3432.407,7306.807,2186.469,102.051,2.498,1.953,1.393,0.973,0.900,0.732,0.849,0.651,0.936,1.085,0.963,0.698,1.089,1.701,4.142,6.265,7.144,5.967,4.248,3.512,3.276,3.560,4.108,4.936,5.693,6.950,8.159,8.657,8.525,7.160,5.069,2.999,1.914,1.460,1.243,1.251,1.408,1.612,
305,716.557,241.581,70.514,53.298,80.985,153.395,244.999,339.763,649.456,1178.735,794.849,253.897,87.042,266.574,4077.242,6021.632,2227.168,91.106,3.096,1.616,1.712,1.006,1.176,0.791,0.933,0.773,1.035,0.983,0.829,0.873,1.664,3.621,5.976,6.780,5.423,4.053,3.240,3.144,3.398,3.872,4.472,5.300,6.226,7.574,7.637,7.729,6.658,4.773,2.815,2.027,1.486,1.138,1.247,1.455,1.832,
310,620.932,207.939,72.121,55.756,78.159,139.940,220.657,301.553,382.187,721.274,1086.856,531.155,103.354,47.316,287.497,3166.953,5918.714,1860.987,96.322,2.063,1.628,1.121,0.967,0.899,0.804,1.209,1.140,1.099,0.815,0.769,1.447,3.124,5.249,5.559,4.732,3.562,2.863,2.871,2.990,3.391,4.127,4.581,5.469,6.337,6.819,6.832,5.887,4.089,2.524,1.778,1.281,1.289,1.311,1.450,1.577,
315,511.502,177.563,66.427,57.086,69.314,133.257,193.411,256.518,319.468,363.547,701.197,927.273,310.879,59.166,40.389,245.597,3114.309,5170.365,2241.736,91.233,2.322,1.444,1.205,0.876,1.239,1.188,1.181,1.044,0.841,0.792,1.318,2.751,4.282,4.779,3.869,2.794,2.676,2.378,2.797,3.029,3.445,4.029,4.518,5.509,5.587,5.956,5.046,3.630,2.281,1.696,1.537,1.320,1.294,1.324,1.635,
320,563.508,190.636,82.741,67.279,78.905,132.713,184.307,233.695,284.792,297.205,333.643,702.510,769.882,227.666,47.425,37.212,200.008,2678.193,6124.213,1944.945,97.234,2.121,1.364,1.094,1.121,1.375,1.325,0.913,0.978,0.892,1.106,2.333,3.619,4.066,3.205,2.800,2.101,2.284,2.609,2.806,3.254,3.899,4.829,5.577,6.016,6.435,5.649,3.832,2.363,1.789,1.531,1.561,1.564,1.498,1.764,
325,723.740,285.405,115.958,87.736,93.137,144.509,182.686,228.472,278.803,291.774,276.465,333.865,763.185,643.277,141.093,46.994,40.146,241.457,3121.667,4847.206,1787.986,76.221,1.740,1.451,1.348,0.968,1.330,1.057,0.908,0.690,1.195,1.724,2.847,3.085,2.806,2.391,2.127,2.395,2.425,2.948,3.362,4.308,5.085,6.231,6.803,7.670,6.776,4.918,3.287,2.294,1.888,1.841,1.702,1.837,2.019,
330,803.828,381.327,188.991,116.967,105.275,150.343,178.674,213.760,263.004,275.785,274.716,243.518,352.146,748.308,496.143,106.283,50.734,45.702,199.437,2563.465,4684.078,1707.063,67.523,2.035,1.402,1.272,1.490,1.238,0.851,0.925,1.041,1.776,2.271,2.812,2.362,2.098,1.979,2.213,2.391,2.867,3.165,3.961,5.081,6.350,6.845,8.071,7.514,5.607,4.072,3.395,2.852,2.431,2.223,2.157,2.243,
335,923.389,477.375,261.822,160.875,131.497,158.544,190.693,217.188,254.233,273.583,271.793,255.226,217.680,381.034,728.453,375.701,90.969,56.010,51.998,208.183,2372.913,4342.612,1503.052,62.177,1.966,1.491,1.380,1.245,1.122,0.884,0.917,1.121,2.087,2.153,2.157,1.991,1.999,2.154,2.455,2.884,3.498,4.223,4.977,6.461,7.406,8.403,8.473,6.468,4.839,4.464,3.945,3.443,2.753,2.453,2.443,
340,1005.475,547.516,306.325,184.118,142.390,170.050,189.670,214.545,252.085,268.689,276.980,262.445,223.097,197.343,452.830,651.544,266.515,67.447,55.579,48.983,214.292,2300.414,3908.310,1278.780,53.868,1.986,1.568,1.271,0.989,0.975,0.989,1.300,1.630,1.808,1.995,1.912,1.913,2.204,2.401,2.839,3.337,4.245,5.350,6.531,7.672,8.571,8.724,7.162,5.531,5.067,4.564,3.637,3.146,2.826,2.682,
345,964.909,569.955,334.106,202.851,149.613,166.500,183.826,195.908,228.167,248.671,258.289,249.161,218.606,177.349,181.425,465.580,558.739,176.345,58.085,48.428,39.851,166.317,2013.675,3602.011,1428.219,53.889,2.050,1.307,1.235,1.047,0.929,1.419,1.734,1.718,1.426,1.799,1.841,2.092,2.323,2.616,3.181,3.950,4.925,5.917,6.880,8.230,8.230,6.828,5.614,5.436,4.834,4.050,3.497,2.903,3.022,
350,890.361,547.015,336.368,205.288,145.531,162.781,170.398,187.219,207.767,221.286,237.273,238.162,213.416,174.745,138.347,183.604,489.601,432.730,117.836,49.519,39.448,27.337,166.277,1954.582,3935.755,1184.322,51.533,1.713,1.166,1.261,0.964,1.343,1.389,1.559,1.560,1.632,1.770,1.992,2.184,2.461,3.025,3.657,4.518,5.483,6.278,7.470,7.466,6.592,5.537,5.407,4.929,4.100,3.542,2.919,2.932,
355,809.662,518.516,336.768,208.423,138.014,155.062,159.207,173.147,186.520,203.241,215.282,222.036,202.066,169.890,132.702,106.962,204.155,495.525,326.215,77.318,37.892,25.380,18.548,180.601,2145.130,3385.272,1148.602,38.871,1.596,1.281,1.002,1.246,1.492,1.517,1.376,1.395,1.564,1.928,2.034,2.246,2.816,3.331,3.893,4.954,5.881,6.843,6.803,6.143,5.189,5.118,4.943,4.035,3.589,2.999,2.767,
360,716.454,473.368,303.893,189.152,132.149,139.477,139.793,152.672,164.997,178.022,190.343,197.041,187.794,157.285,123.347,95.110,85.903,230.134,458.749,242.361,50.379,23.844,16.772,15.160,143.179,1849.593,3648.730,1124.590,43.350,1.771,1.325,1.439,1.319,1.434,1.350,1.621,1.597,1.532,1.842,2.111,2.609,2.988,3.693,4.241,4.979,5.744,6.149,5.371,4.664,4.938,4.628,4.135,3.322,2.826,2.604,
365,611.632,411.662,274.639,170.075,124.386,127.799,129.011,131.853,146.672,155.099,165.087,172.811,166.719,140.459,112.644,87.632,70.344,80.386,262.627,410.774,155.042,28.145,15.739,14.676,14.056,143.832,2212.140,3105.954,1037.613,42.837,1.498,1.294,1.655,1.361,1.412,1.445,1.491,1.685,1.760,1.860,2.369,2.657,3.116,3.966,4.345,4.905,4.918,4.584,4.150,4.410,4.284,3.750,3.170,2.712,2.653,
370,504.348,359.152,244.240,156.740,116.042,115.372,116.708,116.406,126.736,136.281,144.405,154.867,148.596,126.577,100.434,81.569,65.580,55.276,82.710,294.079,340.077,95.727,17.810,13.675,12.758,12.882,155.300,1786.554,2978.129,1152.326,48.538,1.495,1.284,1.264,1.272,1.407,1.399,1.644,1.651,1.766,2.024,2.230,2.834,3.423,3.805,4.162,4.474,3.964,3.653,3.922,3.758,3.346,2.772,2.611,2.320,
375,421.891,306.912,216.966,143.300,97.776,104.551,101.418,103.713,111.399,117.158,124.772,132.497,129.765,112.436,92.706,73.167,61.953,50.632,45.875,93.424,308.077,266.871,57.824,14.594,13.027,11.647,12.195,127.681,1578.876,3285.272,1166.093,47.586,1.851,1.307,1.368,1.264,1.542,1.613,1.619,1.759,1.908,2.084,2.344,2.896,3.146,3.688,3.725,3.535,3.442,3.409,3.462,2.931,2.759,2.439,2.004,
380,356.514,264.147,180.636,123.513,85.774,85.042,89.068,89.647,94.365,103.002,109.729,119.634,114.411,99.141,84.208,68.135,55.692,46.734,40.597,41.575,121.679,304.103,189.410,33.675,12.579,11.789,10.413,11.118,125.875,1606.769,2934.478,1039.609,50.861,1.549,1.428,1.215,1.282,1.331,1.286,1.557,1.624,1.780,2.016,2.362,2.706,2.929,3.212,3.028,2.767,3.010,3.090,2.831,2.487,2.080,1.943,
385,297.309,208.487,158.820,105.925,75.091,76.106,77.902,78.549,84.161,88.795,96.863,101.320,98.263,88.646,73.884,62.754,53.134,42.908,37.903,34.010,39.637,143.829,278.833,128.120,21.358,11.011,10.551,9.635,9.953,102.228,1430.820,2894.103,1172.009,51.433,1.864,1.380,1.409,1.301,1.493,1.374,1.477,1.583,1.855,2.167,2.385,2.682,2.809,2.510,2.516,2.778,2.644,2.501,2.199,1.728,2.007,
390,237.299,182.160,134.042,88.643,67.521,68.408,65.328,66.420,72.787,77.594,83.334,87.481,83.510,77.590,68.000,57.493,48.919,40.943,34.531,31.720,29.675,40.196,164.133,239.236,85.701,14.824,10.054,9.456,8.420,8.810,80.924,1495.619,2984.364,1129.886,46.165,1.612,1.318,1.392,1.324,1.329,1.540,1.540,1.856,1.936,2.081,2.142,2.314,2.227,2.232,2.430,2.292,2.221,2.038,1.687,1.573,
395,189.694,147.784,115.679,80.371,59.360,58.476,59.256,58.535,63.240,69.994,74.831,78.133,77.316,68.039,60.068,51.039,44.958,38.666,33.167,29.411,26.846,23.143,49.724,187.503,191.604,49.522,10.659,8.528,8.380,7.394,8.233,100.953,1488.733,2686.928,917.303,38.700,1.701,1.372,1.413,1.265,1.380,1.429,1.571,1.857,1.717,1.976,2.108,1.992,1.822,2.144,2.086,1.954,1.813,1.655,1.461,
400,164.446,133.084,107.296,71.929,54.024,57.661,55.793,53.182,55.752,64.359,67.778,71.576,67.656,61.116,56.283,48.618,43.013,35.472,31.279,28.572,26.131,21.517,21.258,64.334,191.714,146.205,30.642,8.981,7.851,7.668,6.837,7.804,89.070,1258.549,2538.857,855.939,40.991,1.795,1.460,1.267,1.501,1.371,1.493,1.585,1.698,1.863,1.934,1.855,1.792,1.941,2.052,1.809,1.697,1.497,1.369,
405,156.084,123.221,96.078,70.750,56.115,53.827,54.866,52.783,54.570,58.796,65.106,67.062,65.427,58.944,54.438,47.380,42.084,35.849,32.250,28.601,26.408,21.761,19.370,22.360,83.211,187.140,105.481,19.512,8.265,7.725,7.226,6.575,6.992,71.014,1222.252,2223.022,924.948,45.142,1.698,1.395,1.418,1.340,1.299,1.744,1.616,1.685,1.659,1.674,1.723,1.909,1.900,1.709,1.632,1.532,1.535,
410,140.779,110.300,89.316,67.329,55.025,60.154,54.230,51.334,53.008,55.706,62.993,63.887,63.750,58.329,54.634,48.838,42.417,36.853,32.343,29.655,27.726,23.043,19.349,18.744,27.287,108.720,169.934,69.923,12.669,7.699,7.412,7.473,6.094,6.560,80.595,1143.455,2218.716,860.028,73.001,1.574,1.349,1.292,1.425,1.567,1.473,1.576,1.589,1.509,1.702,1.666,1.882,1.761,1.640,1.489,1.528,
415,127.722,114.039,89.380,67.366,54.710,57.513,53.593,51.775,54.359,55.342,61.607,62.184,60.469,57.936,54.540,47.981,41.691,36.158,33.036,29.996,27.389,23.943,20.648,18.680,19.017,34.263,124.989,145.354,45.367,10.209,7.395,7.838,7.693,5.904,6.655,62.838,1015.385,2162.307,954.821,35.709,1.596,1.369,1.317,1.480,1.402,1.641,1.605,1.525,1.563,1.862,1.802,1.735,1.611,1.336,1.603,
420,126.262,99.865,86.766,63.709,52.235,58.870,53.337,49.120,51.322,53.584,59.718,58.110,56.778,55.613,51.776,46.573,40.800,35.787,31.942,30.297,27.945,24.668,21.682,19.897,17.943,19.076,46.118,134.700,112.229,28.815,8.160,6.944,7.813,7.075,5.515,5.959,65.403,982.978,1894.852,695.065,33.125,1.539,1.518,1.465,1.432,1.432,1.513,1.678,1.539,1.826,1.749,1.751,1.637,1.481,1.426,
425,115.847,92.399,76.553,64.536,53.801,58.376,51.336,48.220,50.868,50.124,56.809,57.752,54.534,53.538,49.977,45.275,40.782,35.409,31.005,29.760,27.966,25.381,22.953,20.380,18.714,17.680,20.044,60.516,134.501,82.305,18.255,7.348,6.827,7.788,6.896,4.819,5.798,61.552,875.827,1738.747,636.369,28.671,1.753,1.527,1.447,1.444,1.444,1.538,1.390,1.644,1.609,1.618,1.627,1.481,1.398,
430,104.790,92.649,69.843,59.541,50.047,56.623,53.565,50.735,47.471,48.829,52.240,54.231,53.265,51.452,48.199,44.237,38.343,33.586,30.603,28.890,27.486,25.415,22.659,20.409,19.805,17.428,16.920,20.898,74.079,122.616,60.030,12.156,6.326,6.168,7.776,6.654,4.653,5.680,48.468,804.299,1606.595,620.541,30.299,1.703,1.503,1.500,1.336,1.555,1.412,1.635,1.560,1.447,1.467,1.478,1.509,
435,95.358,85.782,68.454,55.052,49.277,56.195,53.129,48.192,45.896,47.067,49.079,49.567,48.834,48.936,44.830,42.221,37.521,32.161,29.687,28.423,27.019,25.299,23.145,21.399,19.940,18.146,16.123,15.461,25.066,84.326,106.188,38.728,8.626,5.427,6.107,7.811,5.645,4.248,5.084,45.100,732.673,1520.438,629.457,38.612,1.457,1.554,1.423,1.350,1.431,1.475,1.664,1.565,1.390,1.573,1.577,
440,87.494,75.527,67.664,58.508,47.628,54.272,51.493,45.539,44.365,43.778,46.329,46.648,46.304,44.930,42.575,40.027,34.429,30.439,28.221,27.829,26.639,25.092,22.667,21.450,20.047,18.462,16.338,14.678,14.821,31.371,91.055,83.715,25.031,6.244,5.002,5.972,7.343,5.364,4.036,4.893,43.950,729.044,1563.211,630.377,27.964,1.725,1.536,1.452,1.298,1.444,1.564,1.592,1.486,1.445,1.312,
445,100.171,73.543,63.688,53.263,45.622,58.264,51.491,44.131,43.005,41.526,43.689,44.892,44.009,42.629,41.459,38.606,32.732,29.317,27.176,26.005,25.955,25.392,23.117,22.052,20.166,17.892,16.807,14.687,12.934,13.817,36.851,91.743,66.494,15.572,4.924,4.549,6.006,7.015,4.858,4.044,4.690,36.964,653.230,1472.789,566.964,30.742,1.587,1.337,1.343,1.474,1.509,1.563,1.383,1.387,1.456,
450,348.168,68.051,54.133,49.082,45.760,55.203,49.116,43.056,39.615,41.805,40.845,41.141,41.838,40.427,39.579,35.497,31.810,27.608,25.317,25.568,24.276,22.979,22.355,21.555,19.673,18.394,16.254,14.349,12.239,11.490,13.611,48.071,87.107,45.408,9.381,4.125,4.353,5.910,6.564,4.183,3.536,4.394,31.580,623.700,1369.319,567.052,25.539,1.586,1.359,1.485,1.498,1.564,1.460,1.317,1.353,
455,1064.092,87.427,60.417,48.815,43.853,55.300,47.420,40.914,38.771,36.250,36.883,37.333,38.674,36.160,35.266,32.574,28.961,25.453,23.410,23.429,22.597,22.504,21.427,20.008,18.986,17.589,15.574,13.830,11.798,10.548,10.115,16.748,57.168,75.345,28.488,6.175,3.875,4.158,6.028,6.250,3.885,3.350,4.276,36.108,616.763,1230.354,478.390,22.762,1.517,1.451,1.503,1.468,1.361,1.379,1.536,
460,1958.275,330.744,50.448,43.659,44.298,50.194,45.656,38.731,33.477,34.241,35.666,34.698,34.635,33.632,33.494,30.022,27.273,23.333,22.151,21.521,21.361,20.845,19.314,19.066,17.763,16.588,15.039,13.095,11.274,9.859,8.649,8.577,19.970,61.219,57.842,17.532,4.566,3.734,3.962,6.145,5.846,3.333,3.297,4.012,26.220,539.112,1224.442,476.867,21.056,1.686,1.456,1.433,1.231,1.351,1.266,
465,1849.951,1071.205,79.817,41.925,40.800,48.808,46.456,37.612,31.532,31.872,32.662,30.958,30.811,31.969,30.122,28.071,23.881,21.208,20.116,19.416,19.379,19.790,18.448,18.203,17.439,15.716,14.338,12.685,11.079,9.167,8.092,7.401,8.545,24.998,60.330,43.191,11.171,3.680,3.298,4.214,6.198,5.361,3.092,2.959,3.757,26.882,529.591,1132.572,480.821,30.849,1.484,1.368,1.291,1.243,1.264,
470,923.583,1876.281,382.649,34.238,35.506,44.022,42.337,33.773,31.393,30.052,30.442,29.235,28.573,28.449,26.911,24.870,22.071,19.650,18.476,18.201,18.562,17.991,16.863,16.474,16.168,14.572,13.348,11.866,10.512,8.798,7.619,6.789,6.481,9.133,31.887,56.047,28.716,7.026,3.189,3.126,4.267,6.117,4.787,2.842,2.987,3.595,26.625,514.409,1157.874,492.358,25.167,1.619,1.293,1.349,1.210,
475,182.301,1784.572,1159.379,68.356,36.277,38.424,37.273,32.636,27.680,24.990,26.393,27.120,26.631,26.000,24.286,23.025,19.520,18.043,16.940,16.069,16.809,15.766,15.260,15.035,14.411,13.764,12.353,10.785,9.229,8.292,7.162,6.558,5.445,5.683,10.236,37.043,47.153,19.820,4.739,2.952,2.796,3.856,6.218,4.308,2.553,2.773,3.397,23.654,484.107,1115.189,432.863,21.329,1.338,1.196,1.284,
480,66.455,866.976,1861.797,357.772,31.900,39.809,32.740,27.186,26.815,23.435,24.551,24.799,24.087,22.143,22.214,20.485,17.684,16.494,15.071,14.570,14.915,14.362,14.026,13.296,12.807,12.358,11.167,10.178,8.781,7.811,6.686,5.881,5.450,4.666,5.362,13.587,39.403,38.534,12.991,3.642,2.815,2.918,4.306,6.180,3.704,2.445,2.558,2.970,21.574,404.356,976.462,440.069,23.291,1.328,1.336,
485,82.816,193.461,1607.348,1059.854,63.544,37.110,32.232,27.483,25.413,19.711,21.800,22.547,21.852,19.933,19.090,19.081,16.761,14.347,13.125,13.459,13.172,13.331,12.670,11.908,11.981,11.237,10.130,9.614,8.366,7.069,6.143,5.495,5.058,4.528,4.264,5.390,18.117,39.905,28.523,7.704,2.865,2.414,2.593,4.995,5.808,3.380,2.093,2.458,2.873,20.799,431.672,1024.094,367.926,23.170,1.282,
490,155.560,54.283,732.948,1744.877,352.926,34.212,29.957,23.006,23.660,18.089,19.853,18.998,19.363,18.234,17.151,16.416,14.352,12.253,12.357,11.771,11.733,11.664,11.258,11.831,11.033,10.525,9.294,8.693,7.378,6.667,5.725,5.469,4.704,3.989,4.043,3.970,6.121,22.104,37.514,19.676,4.916,2.262,2.246,2.676,5.009,5.660,2.789,2.116,2.165,2.736,20.500,415.114,893.161,389.465,19.361,
495,283.089,53.540,136.425,1544.285,1080.788,80.345,26.976,22.460,19.357,17.248,17.315,17.843,18.103,17.060,16.091,15.106,12.508,11.643,10.339,10.682,11.195,10.275,9.823,9.786,9.671,8.769,8.209,7.538,6.828,6.308,5.378,4.962,4.483,4.145,3.671,3.367,3.593,7.471,25.518,31.672,13.172,3.282,1.992,2.141,2.913,5.373,5.259,2.575,1.992,2.227,2.722,17.574,404.586,826.318,384.850,
500,380.437,103.662,42.985,725.098,1725.684,451.493,25.096,22.057,18.321,14.976,16.355,16.056,16.275,14.612,13.795,12.434,11.724,9.922,9.980,9.420,9.595,9.746,9.373,8.871,8.900,8.185,7.632,7.066,6.175,5.763,4.932,4.643,3.995,3.458,3.357,3.224,3.199,3.766,10.276,28.341,25.032,8.251,2.503,1.772,1.922,2.993,5.855,4.546,2.038,1.789,2.194,2.691,21.248,350.916,898.303,
505,313.300,202.402,39.508,142.947,1514.484,1324.923,57.981,20.491,16.185,14.314,14.462,14.536,13.943,12.730,11.798,11.811,10.052,8.843,8.635,8.192,8.307,8.211,8.240,8.313,7.817,7.526,6.843,6.558,5.559,5.217,4.649,4.215,3.913,3.449,3.063,3.103,2.744,3.098,3.994,13.784,27.366,18.063,5.382,2.093,1.768,2.076,3.401,5.775,3.720,1.908,1.877,1.964,2.502,17.844,369.909,
510,168.634,314.999,74.070,30.027,646.255,2125.387,412.646,18.245,15.250,13.481,13.009,12.970,12.056,11.696,11.293,10.193,9.131,7.854,7.932,8.016,7.342,7.587,7.256,7.170,6.959,6.473,6.257,5.718,4.939,4.649,4.178,3.861,3.624,3.290,2.726,2.781,2.616,2.414,2.864,4.815,16.041,24.806,12.886,3.547,1.835,1.682,1.847,3.223,5.659,3.704,1.967,1.692,2.036,2.210,15.009,
515,60.750,302.819,153.932,29.718,119.112,1779.522,1227.329,57.715,13.646,12.383,11.309,10.851,12.184,10.953,9.504,9.792,8.814,7.041,7.058,7.064,6.752,6.643,6.529,6.589,6.214,6.123,5.555,5.058,4.632,4.298,3.902,3.724,3.261,2.770,2.943,2.588,2.406,2.314,2.531,2.920,5.723,18.307,20.747,8.649,2.333,1.453,1.616,1.956,3.837,6.283,3.407,1.731,1.659,2.010,2.223,
520,25.540,193.105,254.524,42.799,27.018,785.075,2048.772,412.999,14.368,10.198,11.002,10.056,10.074,9.997,8.724,8.456,7.327,6.751,6.405,6.109,5.760,6.214,5.779,5.401,5.462,5.232,5.266,4.521,4.463,3.924,3.652,3.308,2.932,2.655,2.502,2.422,2.430,2.222,2.161,2.133,2.888,8.106,19.870,15.821,5.405,1.819,1.586,1.540,1.869,4.750,6.284,2.620,1.436,1.599,1.757,
